Date,Sales
2022-01-01,1089.6263580227965
2022-01-02,1053.965598570785
2022-01-03,1151.2271218353305
2022-01-04,1074.8252633767565
2022-01-05,930.9080245008231
2022-01-06,901.7222456170132
2022-01-07,841.1481421991634
2022-01-08,1026.5991454566165
2022-01-09,1218.7299663579515
2022-01-10,1116.2759406638663
2022-01-11,1165.556865233305
2022-01-12,1167.6705674916234
2022-01-13,1074.000307320756
2022-01-14,927.4190857224735
2022-01-15,1108.652991936575
2022-01-16,934.3013847607717
2022-01-17,1040.3017115026357
2022-01-18,1200.3697913255187
2022-01-19,892.9874843769699
2022-01-20,1110.407607332997
2022-01-21,1152.655628590915
2022-01-22,1230.8813574915812
2022-01-23,1112.4205209201418
2022-01-24,1114.6787753242704
2022-01-25,1174.390104846048
2022-01-26,1258.7708444118455
2022-01-27,1288.4914633676588
2022-01-28,985.4880972583371
2022-01-29,1156.1029800897754
2022-01-30,1003.7343203404747
2022-01-31,1048.1988928795472
2022-02-01,1102.7891385458388
2022-02-02,1277.7678945725033
2022-02-03,1009.2064400024215
2022-02-04,1223.2349291050896
2022-02-05,1208.4915649196396
2022-02-06,1194.3208474674109
2022-02-07,1382.8637812461573
2022-02-08,1259.5021004591736
2022-02-09,1213.493303703576
2022-02-10,1256.8802762324674
2022-02-11,1305.7641757867837
2022-02-12,1029.5967442585195
2022-02-13,1099.6843660102622
2022-02-14,1125.1271235775503
2022-02-15,1349.81456134124
2022-02-16,1160.3862926677432
2022-02-17,1290.944635200502
2022-02-18,1117.250175316129
2022-02-19,1418.324078722264
2022-02-20,1228.7643047019933
2022-02-21,1336.5271298675234
2022-02-22,1396.0609185283897
2022-02-23,1461.9380856203895
2022-02-24,1291.2529491665846
2022-02-25,1370.7923597569375
2022-02-26,1453.4141973337726
2022-02-27,1279.6064223219323
2022-02-28,1281.7496244089184
2022-03-01,1190.6016475523027
2022-03-02,1188.9617151508282
2022-03-03,1235.0226049405687
2022-03-04,1215.6270761031426
2022-03-05,1499.324052648842
2022-03-06,1254.4566987798348
